"m49_code","country","region","cpc_code","commodity","year","loss_percentage","loss_percentage_original","loss_quantity","activity","food_supply_stage","treatment","cause_of_loss","sample_size","method_data_collection","reference","url","notes"
"124","Canada",,"02920","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",2014,50,"50%",,,"Whole supply chain",,"","","Literature Review","lenca (2014), retail food waste management",,"Sourced from Gunders, (2012) Reference has been generated automatically"
"124","Canada",,"21111.01","Meat of cattle with the bone, fresh or chilled",2014,3.5,"3 - 4%",,"Retailing","Retail",,,,"Modelled Estimates","Canada’s Annual Food Waste — $27 Billion Revisited",,
"150","Europe",,"02211","Raw milk of cattle",2013,0.5,"0.5",,,"Wholesale",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"02211","Raw milk of cattle",2013,0.5,"0.5",,,"Harvest",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"02211","Raw milk of cattle",2013,1.2,"1.2",,,"Processing",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"02211","Raw milk of cattle",2013,7,"7",,,"Households",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"02211","Raw milk of cattle",2013,3.5,"3.5",,,"Pre-harvest",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"0231","Hen eggs in shell, fresh",2013,2,"2",,,"Wholesale",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"0231","Hen eggs in shell, fresh",2013,4,"4",,,"Pre-harvest",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"0231","Hen eggs in shell, fresh",2013,8,"8",,,"Households",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"0231","Hen eggs in shell, fresh",2013,0.5,"0.5",,,"Processing",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,3.2,"3.2",,,"Pre-harvest",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,11,"11",,,"Households",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,5,"5",,,"Processing",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,0.7,"0.7",,,"Harvest",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"150","Europe",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,4,"4",,,"Wholesale",,,,"Modelled Estimates","Waste Management & Research 32(8)",,
"156","China",,"21121","Meat of chickens, fresh or chilled",2014,8.95,"8-9.9",,,"Farm",,"","","No Data Collection Specified","Liu (2014)","http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf",""
"156","China",,"21111.01","Meat of cattle with the bone, fresh or chilled",2013,3.1,"2.5- 3.7%","0 tons",,"Storage",,"decentralized agricultural system in China
cereal storage losses resulting from insect infestations , mold damage , rat infestations , respectivel",,"Literature Review","Gang Liu; food losses and waste in china_gang liu.pdf",,"5.7-8.6 % for grain , 2.5- 3.7 % for meats , and 10-15 % for perishable food 

 are found in post-harvest handling (4-6%
on average) and storage (5.7-8.6% on average). In processing and distribution, the average loss of
grain is 2.2-3.3% and 1-1.5%, respectively.


The loss rate at post-harvest handling, storage, processing, and distribution stages of meats can be approximated as 1.4-2.1%, 2.5- 3.7%, 1.1%, and 3%, respectively. One study also estimates that about 2%, 4%, and 3.2% of fish and aquatic products are lost at the harvesting, storage, and distribution stages, respectively (许世卫 2007)

, the national average household storage loss of maize is 11 % , much higher than 6.5 % for rice and 4.7 % for wheat 

'in northeastern provinces , northwestern provinces , the middle and lower reaches of Yangze River , and the Yellow-Huaihe-Haihe Plain is 10.2 % , 8.8 % , 7.4 % , and 5 % , respectively . T"
